Model,Sample,Attack,Epsilon,MSE_Clean,MSE_Adv,ASR,Degradation
Standard,0,FGSM,0.1,0.027674519921996134,0.030118931531417713,0.08115864292436008,1.0883271549537783
Standard,0,FGSM,0.5,0.027674519921996134,0.0413294708746002,0.330392590653658,1.4934123876797913
Standard,0,FGSM,1.0,0.027674519921996134,0.05851728747375187,0.5270710397434325,2.1144824784202103
Standard,0,FGSM,2.0,0.027674519921996134,0.10333998769936073,0.7321993108562435,3.7341203385148707
Standard,0,FGSM,3.0,0.027674519921996134,0.160741790264802,0.8278324518073003,5.808295526638638
Standard,0,BIM,0.1,0.027674519921996134,0.05908652209243323,0.5316271978455099,2.135051385136056
Standard,0,BIM,0.5,0.027674519921996134,0.1053889630172298,0.7374058997290667,3.80815867138006
Standard,0,BIM,1.0,0.027674519921996134,0.1053889630172298,0.7374058997290667,3.80815867138006
Standard,0,BIM,2.0,0.027674519921996134,0.1053889630172298,0.7374058997290667,3.80815867138006
Standard,0,BIM,3.0,0.027674519921996134,0.1053889630172298,0.7374058997290667,3.80815867138006
Standard,0,PGD,0.1,0.027674519921996134,0.0589565083218356,0.5305943192747326,2.1303534257508856
Standard,0,PGD,0.5,0.027674519921996134,0.10004272048332848,0.723372977181204,3.614975824885511
Standard,0,PGD,1.0,0.027674519921996134,0.11467715275110141,0.7586745113731442,4.143781105303086
Standard,0,PGD,2.0,0.027674519921996134,0.18666206050249382,0.8517399848287521,6.744906904568629
Standard,0,PGD,3.0,0.027674519921996134,0.26452941650737666,0.8953820702159059,9.55859098018624
Standard,0,Channel-Aware,0.1,0.027674519921996134,0.10497050365110443,0.7363590822239047,3.7930379261131195
Standard,0,Channel-Aware,0.5,0.027674519921996134,0.10475325367611238,0.7358123117820927,3.7851877456726135
Standard,0,Channel-Aware,1.0,0.027674519921996134,0.10464270322199078,0.7355332090065855,3.7811930800222897
Standard,0,Channel-Aware,2.0,0.027674519921996134,0.10496681706623855,0.7363498227774942,3.792904713870368
Standard,0,Channel-Aware,3.0,0.027674519921996134,0.10490212300075305,0.736187227385308,3.7905670377094864
Standard,0,Pilot-Contamination,0.1,0.027674519921996134,0.027678296681623516,0.00013645202487802698,1.000136470646574
Standard,0,Pilot-Contamination,0.5,0.027674519921996134,0.029113279554210527,0.04941935962711943,1.051988603100242
Standard,0,Pilot-Contamination,1.0,0.027674519921996134,0.03674454381220603,0.2468400189308367,1.3277391591895655
Standard,0,Pilot-Contamination,2.0,0.027674519921996134,0.05541630489905073,0.5006069067143776,2.002430577124664
Standard,0,Pilot-Contamination,3.0,0.027674519921996134,0.07080501725866858,0.6091446483108092,2.5584912568760285
Standard,0,Undermining,0.1,0.027674519921996134,0.06960688315746516,0.6024169066816187,2.5151974940725363
Standard,0,Undermining,0.5,0.027674519921996134,0.1709218733042948,0.83808672707017,6.176145920003601
Standard,0,Undermining,1.0,0.027674519921996134,0.3243863908457458,0.9146865568255108,11.721482134471229
Standard,0,Undermining,2.0,0.027674519921996134,0.5546351907147545,0.9501032022754774,20.04136629210041
Standard,0,Undermining,3.0,0.027674519921996134,0.8500542811147215,0.9674438203102689,30.71613467950659
Standard,1,FGSM,0.1,0.04183792171646652,0.043919014905112026,0.047384787503584824,1.0497417917349952
Standard,1,FGSM,0.5,0.04183792171646652,0.05331651966954475,0.21529158362590933,1.2743587033521433
Standard,1,FGSM,1.0,0.04183792171646652,0.06758540979773663,0.38096222481042596,1.6154103030202966
