Attack,Epsilon,Benign_Input_MSE,Malicious_Input_MSE,ASR
FGSM,0.1,0.031105648918310847,0.03296616198829434,0.06834767222044408
FGSM,0.5,0.031105648918310847,0.041496223924845,0.2887209181242051
FGSM,1.0,0.031105648918310847,0.05460362840995136,0.47425241983333216
FGSM,2.0,0.031105648918310847,0.08895337566826927,0.6819963938968431
FGSM,3.0,0.031105648918310847,0.1340560905983851,0.7877999466532715
BIM,0.1,0.031105648918310847,0.05519475055153293,0.4810351958522575
BIM,0.5,0.031105648918310847,0.0912603380793533,0.6903636618610106
BIM,1.0,0.031105648918310847,0.0912603380793533,0.6903636618610106
BIM,2.0,0.031105648918310847,0.0912603380793533,0.6903636618610106
BIM,3.0,0.031105648918310847,0.0912603380793533,0.6903636618610106
PGD,0.1,0.031105648918310847,0.05514513377546316,0.4804683440204842
PGD,0.5,0.031105648918310847,0.08365395537916234,0.6622315019257601
PGD,1.0,0.031105648918310847,0.09087960272305572,0.6888109509523517
PGD,2.0,0.031105648918310847,0.10470003154600814,0.729137468647095
PGD,3.0,0.031105648918310847,0.12535368792152987,0.7680833413781464
Channel-Aware,0.1,0.031105648918310847,0.08981787228648022,0.6851621746463048
Channel-Aware,0.5,0.031105648918310847,0.08981690750378607,0.6851536928429789
Channel-Aware,1.0,0.031105648918310847,0.08980528833730284,0.6851252234377521
Channel-Aware,2.0,0.031105648918310847,0.08981413008009,0.685143931531977
Channel-Aware,3.0,0.031105648918310847,0.08981389294475813,0.6851520489119053
Pilot-Contamination,0.1,0.031105648918310847,0.031125037100384167,0.0006559420176491765
Pilot-Contamination,0.5,0.031105648918310847,0.03145417240029158,0.015049344297168964
Pilot-Contamination,1.0,0.031105648918310847,0.03255268966625107,0.06614310833117892
Pilot-Contamination,2.0,0.031105648918310847,0.03495372893834473,0.14261753080324474
Pilot-Contamination,3.0,0.031105648918310847,0.037100577980977274,0.18109985978217447
Undermining,0.1,0.031105648918310847,0.0448275962501818,0.3511076977270159
Undermining,0.5,0.031105648918310847,0.09721731172276592,0.6960670924675467
Undermining,1.0,0.031105648918310847,0.16489512504389758,0.8164325315746873
Undermining,2.0,0.031105648918310847,0.2864264039610501,0.8908683748147865
Undermining,3.0,0.031105648918310847,0.410963274702946,0.9201741128158891
