Attack,Epsilon,ASR
FGSM,0.1,0.0683
FGSM,0.5,0.2887
FGSM,1.0,0.4743
FGSM,2.0,0.682
FGSM,3.0,0.7878
BIM,0.1,0.481
BIM,0.5,0.6904
BIM,1.0,0.6904
BIM,2.0,0.6904
BIM,3.0,0.6904
PGD,0.1,0.4805
PGD,0.5,0.6622
PGD,1.0,0.6888
PGD,2.0,0.7291
PGD,3.0,0.7681
Channel-Aware,0.1,0.6852
Channel-Aware,0.5,0.6852
Channel-Aware,1.0,0.6851
Channel-Aware,2.0,0.6851
Channel-Aware,3.0,0.6852
Pilot-Contamination,0.1,0.0007
Pilot-Contamination,0.5,0.015
Pilot-Contamination,1.0,0.0661
Pilot-Contamination,2.0,0.1426
Pilot-Contamination,3.0,0.1811
Undermining,0.1,0.3511
Undermining,0.5,0.6961
Undermining,1.0,0.8164
Undermining,2.0,0.8909
Undermining,3.0,0.9202
