Model,Attack,ASR_mean,ASR_std,MSE_Clean_mean,MSE_Adv_mean
Adversarial-Training,BIM,0.6485,0.1325,0.0311,0.084
Adversarial-Training,Channel-Aware,0.6851,0.1005,0.0311,0.0898
Adversarial-Training,FGSM,0.4602,0.2742,0.0311,0.0704
Adversarial-Training,PGD,0.6657,0.145,0.0311,0.0919
Adversarial-Training,Pilot-Contamination,0.0811,0.0912,0.0311,0.0334
Adversarial-Training,Undermining,0.7349,0.2359,0.0311,0.2009
Defensive-Distillation,BIM,0.7883,0.1089,0.0254,0.1191
Defensive-Distillation,Channel-Aware,0.825,0.0746,0.0254,0.1335
Defensive-Distillation,FGSM,0.5799,0.2914,0.0254,0.0956
Defensive-Distillation,PGD,0.835,0.1289,0.0254,0.2285
Defensive-Distillation,Pilot-Contamination,0.433,0.3123,0.0254,0.0576
Defensive-Distillation,Undermining,0.9005,0.13,0.0254,0.6142
Standard,BIM,0.723,0.122,0.0269,0.0935
Standard,Channel-Aware,0.7605,0.0884,0.0269,0.102
Standard,FGSM,0.5228,0.2849,0.0269,0.0766
Standard,PGD,0.7702,0.1451,0.0269,0.1409
Standard,Pilot-Contamination,0.2981,0.2446,0.0269,0.0405
Standard,Undermining,0.8556,0.1695,0.0269,0.4066
