Attack,Epsilon,Benign_Input_MSE,Malicious_Input_MSE,ASR
FGSM,0.1,0.025417063071980175,0.028172940165279384,0.11817713063210745
FGSM,0.5,0.025417063071980175,0.04167900796956391,0.4346872852004767
FGSM,1.0,0.025417063071980175,0.06410273012398837,0.6391398585159549
FGSM,2.0,0.025417063071980175,0.12744936329744364,0.8170894213713464
FGSM,3.0,0.025417063071980175,0.21645128765866636,0.8904479713243684
BIM,0.1,0.025417063071980175,0.06544727190487035,0.6468367464196703
BIM,0.5,0.025417063071980175,0.13249150373025562,0.8236217422746591
BIM,1.0,0.025417063071980175,0.13249150373025562,0.8236217422746591
BIM,2.0,0.025417063071980175,0.13249150373025562,0.8236217422746591
BIM,3.0,0.025417063071980175,0.13249150373025562,0.8236217422746591
PGD,0.1,0.025417063071980175,0.06527491704246838,0.6458867105629195
PGD,0.5,0.025417063071980175,0.125040369435176,0.812776937098979
PGD,1.0,0.025417063071980175,0.1620150107599993,0.8533971061486824
PGD,2.0,0.025417063071980175,0.2948304908323609,0.9153797278681237
PGD,3.0,0.025417063071980175,0.49536348525784835,0.9477269636203265
Channel-Aware,0.1,0.025417063071980175,0.1334542680356803,0.8249378494044938
Channel-Aware,0.5,0.025417063071980175,0.13351268025906116,0.8250146964135279
Channel-Aware,1.0,0.025417063071980175,0.1334995004499736,0.8249892119515687
Channel-Aware,2.0,0.025417063071980175,0.13352446598989043,0.8250198793885795
Channel-Aware,3.0,0.025417063071980175,0.13346760693066745,0.8249744969047188
Pilot-Contamination,0.1,0.025417063071980175,0.025675202609296587,0.011413588817527767
Pilot-Contamination,0.5,0.025417063071980175,0.03004023675674537,0.20057523840700414
Pilot-Contamination,1.0,0.025417063071980175,0.043923224080768056,0.4710343399559547
Pilot-Contamination,2.0,0.025417063071980175,0.078688018876132,0.7002088374984059
Pilot-Contamination,3.0,0.025417063071980175,0.10978286293161046,0.7815260257228798
Undermining,0.1,0.025417063071980175,0.07839565984749447,0.6938775399054502
Undermining,0.5,0.025417063071980175,0.28420479884135225,0.9106438951333043
Undermining,1.0,0.025417063071980175,0.5211405300317051,0.9484798640397056
Undermining,2.0,0.025417063071980175,0.9127264786779533,0.9708401929212487
Undermining,3.0,0.025417063071980175,1.2743384218916018,0.9788428701152316
