Attack,Epsilon,ASR
FGSM,0.1,0.1182
FGSM,0.5,0.4347
FGSM,1.0,0.6391
FGSM,2.0,0.8171
FGSM,3.0,0.8904
BIM,0.1,0.6468
BIM,0.5,0.8236
BIM,1.0,0.8236
BIM,2.0,0.8236
BIM,3.0,0.8236
PGD,0.1,0.6459
PGD,0.5,0.8128
PGD,1.0,0.8534
PGD,2.0,0.9154
PGD,3.0,0.9477
Channel-Aware,0.1,0.8249
Channel-Aware,0.5,0.825
Channel-Aware,1.0,0.825
Channel-Aware,2.0,0.825
Channel-Aware,3.0,0.825
Pilot-Contamination,0.1,0.0114
Pilot-Contamination,0.5,0.2006
Pilot-Contamination,1.0,0.471
Pilot-Contamination,2.0,0.7002
Pilot-Contamination,3.0,0.7815
Undermining,0.1,0.6939
Undermining,0.5,0.9106
Undermining,1.0,0.9485
Undermining,2.0,0.9708
Undermining,3.0,0.9788
