Attack,Epsilon,ASR
FGSM,0.1,0.0921
FGSM,0.5,0.3616
FGSM,1.0,0.5601
FGSM,2.0,0.7555
FGSM,3.0,0.8448
BIM,0.1,0.5667
BIM,0.5,0.7621
BIM,1.0,0.7621
BIM,2.0,0.7621
BIM,3.0,0.7621
PGD,0.1,0.566
PGD,0.5,0.745
PGD,1.0,0.785
PGD,2.0,0.8546
PGD,3.0,0.9004
Channel-Aware,0.1,0.7605
Channel-Aware,0.5,0.7605
Channel-Aware,1.0,0.7605
Channel-Aware,2.0,0.7606
Channel-Aware,3.0,0.7606
Pilot-Contamination,0.1,0.0053
Pilot-Contamination,0.5,0.1045
Pilot-Contamination,1.0,0.2846
Pilot-Contamination,2.0,0.5051
Pilot-Contamination,3.0,0.5908
Undermining,0.1,0.585
Undermining,0.5,0.8523
Undermining,1.0,0.9197
Undermining,2.0,0.954
Undermining,3.0,0.9672
